project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2006-L01-B02-000-001,其他专业,2020/6/12 0:00,深圳会展中心,会展,6,3,3,0
ZRH(ZB)-2006-L01-B02-000-001,消防专业,2020/6/12 0:00,深圳会展中心,会展,17,6,8,3
ZRH(ZB)-2006-L01-B02-000-001,电梯专业,2020/6/12 0:00,深圳会展中心,会展,24,4,13,5
ZRH(ZB)-2006-L01-B02-000-001,电气专业,2020/6/12 0:00,深圳会展中心,会展,19,6,13,0
ZRH(ZB)-2006-L01-B09-000-001,幕墙专业,2020/7/23 0:00,惠州华润小径湾,住宅,3,2,1,0
ZRH(ZB)-2006-L01-B09-000-001,暖通专业,2020/7/23 0:00,惠州华润小径湾,住宅,1,0,1,0
ZRH(ZB)-2006-L01-B09-000-001,消防专业,2020/7/23 0:00,惠州华润小径湾,住宅,96,21,58,17
ZRH(ZB)-2006-L01-B09-000-001,燃气专业,2020/7/23 0:00,惠州华润小径湾,住宅,9,5,4,0
ZRH(ZB)-2006-L01-B09-000-001,电梯专业,2020/7/23 0:00,惠州华润小径湾,住宅,52,15,25,12
ZRH(ZB)-2006-L01-B09-000-001,电气专业,2020/7/23 0:00,惠州华润小径湾,住宅,112,19,84,9
ZRH(ZB)-2006-L01-B09-000-001,装修专业,2020/7/23 0:00,惠州华润小径湾,住宅,15,0,12,3
ZRH(ZB)-2007-L01-A01-000-01,消防专业,2020/7/29 0:00,青岛城阳万象汇,综合体,37,7,26,4
ZRH(ZB)-2007-L01-A01-000-01,电梯专业,2020/7/29 0:00,青岛城阳万象汇,综合体,13,5,5,3
ZRH(ZB)-2007-L01-A01-000-01,电气专业,2020/7/29 0:00,青岛城阳万象汇,综合体,22,6,14,2
ZRH(ZB)-2007-L01-A01-000-04,消防专业,2020/7/25 0:00,郑州万象城,综合体,48,11,34,3
ZRH(ZB)-2007-L01-A01-000-04,电梯专业,2020/7/25 0:00,郑州万象城,综合体,13,2,11,0
ZRH(ZB)-2007-L01-A01-000-04,电气专业,2020/7/25 0:00,郑州万象城,综合体,23,7,13,3
ZRH(ZB)-2007-L01-A01-000-05,消防专业,2020/8/5 0:00,合肥万象城,综合体,28,13,14,1
ZRH(ZB)-2007-L01-A01-000-05,燃气专业,2020/8/5 0:00,合肥万象城,综合体,2,0,2,0
ZRH(ZB)-2007-L01-A01-000-05,电梯专业,2020/8/5 0:00,合肥万象城,综合体,26,10,14,2
ZRH(ZB)-2007-L01-A01-000-05,电气专业,2020/8/5 0:00,合肥万象城,综合体,10,1,9,0
ZRH(ZB)-2007-L01-A01-000-06,消防专业,2020/8/5 0:00,厦门万象城,综合体,101,15,72,14
ZRH(ZB)-2007-L01-A01-000-06,燃气专业,2020/8/5 0:00,厦门万象城,综合体,12,2,9,1
ZRH(ZB)-2007-L01-A01-000-06,电梯专业,2020/8/5 0:00,厦门万象城,综合体,22,5,15,2
ZRH(ZB)-2007-L01-A01-000-06,电气专业,2020/8/5 0:00,厦门万象城,综合体,43,4,33,6
ZRH(ZB)-2007-L01-A01-000-07,消防专业,2020/8/8 0:00,石家庄万象城,综合体,94,14,60,20
ZRH(ZB)-2007-L01-A01-000-07,电梯专业,2020/8/8 0:00,石家庄万象城,综合体,33,9,23,1
ZRH(ZB)-2007-L01-A01-000-08,消防专业,2020/8/8 0:00,余姚五彩城,综合体,69,9,52,8
ZRH(ZB)-2007-L01-A01-000-08,电梯专业,2020/8/8 0:00,余姚五彩城,综合体,20,6,12,2
ZRH(ZB)-2007-L01-A01-000-08,电气专业,2020/8/8 0:00,余姚五彩城,综合体,38,3,32,3
ZRH(ZB)-2007-L01-A01-000-09,消防专业,2020/7/18 0:00,泰州万象城,综合体,29,8,17,4
ZRH(ZB)-2007-L01-A01-000-09,燃气专业,2020/7/18 0:00,泰州万象城,综合体,1,0,1,0
ZRH(ZB)-2007-L01-A01-000-09,电梯专业,2020/7/18 0:00,泰州万象城,综合体,10,2,6,2
ZRH(ZB)-2007-L01-A01-000-09,电气专业,2020/7/18 0:00,泰州万象城,综合体,37,8,27,2
ZRH(ZB)-2007-L01-A01-000-10,消防专业,2020/8/12 0:00,上海南翔五彩城,综合体,53,7,43,3
ZRH(ZB)-2007-L01-A01-000-10,电梯专业,2020/8/12 0:00,上海南翔五彩城,综合体,10,2,5,3
ZRH(ZB)-2007-L01-A01-000-10,电气专业,2020/8/12 0:00,上海南翔五彩城,综合体,39,3,32,4
ZRH(ZB)-2007-L01-A01-000-11,消防专业,2020/8/12 0:00,成都万象城,综合体,69,12,53,4
ZRH(ZB)-2007-L01-A01-000-11,电梯专业,2020/8/12 0:00,成都万象城,综合体,38,13,23,2
ZRH(ZB)-2007-L01-A01-000-12,消防专业,2020/8/15 0:00,弹子石万象汇,综合体,48,9,36,3
ZRH(ZB)-2007-L01-A01-000-12,电梯专业,2020/8/15 0:00,弹子石万象汇,综合体,27,11,16,0
ZRH(ZB)-2007-L01-A01-000-13,消防专业,2020/8/15 0:00,无锡万象城,综合体,100,17,76,7
ZRH(ZB)-2007-L01-A01-000-13,电梯专业,2020/8/15 0:00,无锡万象城,综合体,9,6,3,0
ZRH(ZB)-2007-L01-A01-000-13,电气专业,2020/8/15 0:00,无锡万象城,综合体,33,4,27,2
ZRH(ZB)-2007-L01-A01-000-14,消防专业,2020/8/19 0:00,深圳万象天地,综合体,109,21,85,3
ZRH(ZB)-2007-L01-A01-000-14,电梯专业,2020/8/19 0:00,深圳万象天地,综合体,20,6,13,1
ZRH(ZB)-2007-L01-A01-000-14,电气专业,2020/8/19 0:00,深圳万象天地,综合体,6,0,4,2
ZRH(ZB)-2007-L01-A01-000-15,消防专业,2020/7/21 0:00,杭州万象城,综合体,73,20,47,6
ZRH(ZB)-2007-L01-A01-000-15,电梯专业,2020/7/21 0:00,杭州万象城,综合体,16,3,9,4
ZRH(ZB)-2007-L01-A01-000-15,电气专业,2020/7/21 0:00,杭州万象城,综合体,15,2,12,1
ZRH(ZB)-2007-L01-A01-000-16,消防专业,2020/8/20 0:00,深圳万象城,综合体,80,17,55,8
ZRH(ZB)-2007-L01-A01-000-16,电梯专业,2020/8/20 0:00,深圳万象城,综合体,21,7,13,1
ZRH(ZB)-2007-L01-A01-000-16,电气专业,2020/8/20 0:00,深圳万象城,综合体,46,3,38,5
ZRH(ZB)-2007-L01-A01-000-17,消防专业,2020/8/25 0:00,青岛万象城,综合体,100,37,59,4
