Producer Type,Energy Source,Year,State,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Producer Type,Correlated Energy Source,Correlated Year,Correlated State,measure
*,*,*,WA,Year,2000,0.937069125,0.024686558,outlier,shape,0.023133012,,,,,CO2 (kt)
*,*,*,OH,Year,2005,0.911161471,0.025998639,outlier,shape,0.023688958,,,,,CO2 (kt)
*,*,*,FL,Year,2005,0.916253813,0.031732919,outlier,shape,0.029075408,,,,,CO2 (kt)
Electric Utility,Coal,*,*,Year,1998,0.941710858,0.051414132,outlier,shape,0.048417246,,,,,CO2 (kt)
Industrial Non-Cogen,*,*,*,Year,2004,0.896915189,0.057731558,outlier,shape,0.051780311,,,,,CO2 (kt)
*,Other,*,*,Year,2006,0.869405199,0.103994557,outlier,shape,0.090413409,,,,,CO2 (kt)
Utility Sector Cogen,Natural Gas,*,*,Year,2002,0.926450534,0.038487705,outlier,shape,0.035656955,,,,,CO2 (kt)
Utility Sector Cogen,*,*,*,Year,2003,0.903616897,0.145300807,outlier,shape,0.131296264,,,,,CO2 (kt)
*,Other Gases,*,*,Year,1999,0.999066635,0.041549227,outlier,shape,0.041510447,,,,,CO2 (kt)
Commercial Non-Cogen,*,*,*,Year,2013,0.997126411,0.046846146,outlier,shape,0.04671153,,,,,CO2 (kt)
Utility Sector Non-Cogen,Petroleum,*,*,Year,2005,0.988544111,0.034162698,outlier,shape,0.033771334,,,,,CO2 (kt)
*,*,*,*,Year,2007,0.9267333,1,outlier,shape,0.9267333,,,,,CO2 (kt)
*,Coal,*,*,Year,2007,0.90424358,0.162406453,outlier,shape,0.146854993,,,,,CO2 (kt)
Utility Sector Non-Cogen,*,*,*,Year,2007,0.871197281,0.170278939,outlier,shape,0.148346548,,,,,CO2 (kt)
Utility Sector Non-Cogen,Natural Gas,*,*,Year,2012,0.940937437,0.042375352,outlier,shape,0.039872555,,,,,CO2 (kt)
Electric Utility,*,*,*,Year,1998,0.966316056,0.211147828,outlier,shape,0.204035536,,,,,CO2 (kt)
Commercial Cogen,Petroleum,*,*,Year,2004,0.970900497,0.033968316,outlier,shape,0.032979855,,,,,CO2 (kt)
Industrial Cogen,Coal,*,*,Year,1997,0.889470302,0.043979007,outlier,shape,0.03911802,,,,,CO2 (kt)
Electric Utility,Natural Gas,*,*,Year,2015,0.996823653,0.057828749,outlier,shape,0.057645065,,,,,CO2 (kt)
*,Natural Gas,*,*,Year,2015,0.987508298,0.265866459,outlier,shape,0.262545335,,,,,CO2 (kt)
*,*,*,WI,Year,2005,0.971518151,0.030129264,outlier,shape,0.029271127,,,,,CO2 (kt)
*,Petroleum,*,*,Year,1998,0.892531559,0.24769171,outlier,shape,0.221072668,,,,,CO2 (kt)
*,*,*,NY,Year,1990,0.941866605,0.031587132,outlier,shape,0.029750865,,,,,CO2 (kt)
Industrial Cogen,*,*,*,Year,1999,0.948845329,0.250704636,outlier,shape,0.237879923,,,,,CO2 (kt)
Industrial Cogen,Petroleum,*,*,Year,1997,0.87343705,0.051268345,outlier,shape,0.044779672,,,,,CO2 (kt)
Commercial Cogen,Natural Gas,*,*,Year,2015,0.974759336,0.041257654,outlier,shape,0.040216283,,,,,CO2 (kt)
*,*,*,PA,Year,2007,0.944481802,0.035231801,outlier,shape,0.033275795,,,,,CO2 (kt)
Commercial Cogen,*,*,*,Year,1997,0.939963378,0.117990087,outlier,shape,0.11090636,,,,,CO2 (kt)
Electric Utility,Petroleum,*,*,Year,1990,0.961219867,0.063514433,outlier,shape,0.061051335,,,,,CO2 (kt)
Industrial Cogen,Natural Gas,*,*,Year,1999,0.979068078,0.054524249,outlier,shape,0.053382952,,,,,CO2 (kt)
*,*,2003,*,Producer Type,Electric Utility,0.704558394,0.040868889,attribution,point,0.028794519,,,,,CO2 (kt)
*,*,2002,*,Producer Type,Electric Utility,0.725637741,0.039799786,attribution,point,0.028880227,,,,,CO2 (kt)
*,*,2011,*,Producer Type,Electric Utility,0.696474789,0.041937992,attribution,point,0.029208754,,,,,CO2 (kt)
*,*,2001,*,Producer Type,Electric Utility,0.772567529,0.040237146,attribution,point,0.031085913,,,,,CO2 (kt)
*,*,2004,*,Producer Type,Electric Utility,0.70493317,0.041403441,attribution,point,0.029186659,,,,,CO2 (kt)
*,*,*,MI,Producer Type,Electric Utility,0.893240572,0.033968316,attribution,point,0.030341878,,,,,CO2 (kt)
*,*,2012,*,Producer Type,Electric Utility,0.679245506,0.043201477,attribution,point,0.029344409,,,,,CO2 (kt)
*,*,2000,*,Producer Type,Electric Utility,0.813906013,0.040188551,attribution,point,0.032709703,,,,,CO2 (kt)
*,*,*,PA,Energy Source,Coal,0.906753213,0.035231801,attribution,point,0.031946549,,,,,CO2 (kt)
*,*,*,MI,Energy Source,Coal,0.897588588,0.033968316,attribution,point,0.030489572,,,,,CO2 (kt)
*,*,2014,*,Producer Type,Electric Utility,0.68543588,0.043590242,attribution,point,0.029878316,,,,,CO2 (kt)
Industrial Non-Cogen,*,*,*,State,TX,0.546746313,0.057731558,attribution,point,0.031564516,,,,,CO2 (kt)
*,*,1995,*,Energy Source,Coal,0.853880157,0.037175624,attribution,point,0.031743528,,,,,CO2 (kt)
*,*,1996,*,Energy Source,Coal,0.863278225,0.037855963,attribution,point,0.032680228,,,,,CO2 (kt)
*,*,1997,*,Energy Source,Coal,0.85902787,0.038293323,attribution,point,0.032895032,,,,,CO2 (kt)
*,*,1999,*,Producer Type,Electric Utility,0.86954567,0.038925066,attribution,point,0.033847122,,,,,CO2 (kt)
*,*,1999,*,Energy Source,Coal,0.841742977,0.038925066,attribution,point,0.032764901,,,,,CO2 (kt)
*,*,2000,*,Energy Source,Coal,0.844404252,0.040188551,attribution,point,0.033935383,,,,,CO2 (kt)
*,*,2001,*,Energy Source,Coal,0.836636198,0.040237146,attribution,point,0.033663853,,,,,CO2 (kt)
*,*,2002,*,Energy Source,Coal,0.841159022,0.039799786,attribution,point,0.033477949,,,,,CO2 (kt)
*,*,2015,*,Energy Source,Coal,0.728144356,0.043055691,attribution,point,0.031350758,,,,,CO2 (kt)
*,*,2013,*,Energy Source,Coal,0.789821132,0.043930411,attribution,point,0.034697167,,,,,CO2 (kt)
*,*,2013,*,Producer Type,Electric Utility,0.694352555,0.043930411,attribution,point,0.030503193,,,,,CO2 (kt)
*,*,2006,*,Energy Source,Coal,0.844547934,0.040674507,attribution,point,0.034351571,,,,,CO2 (kt)
*,*,1995,*,Producer Type,Electric Utility,0.894408802,0.037175624,attribution,point,0.033250206,,,,,CO2 (kt)
Commercial Non-Cogen,*,*,*,Energy Source,Other,0.856125883,0.046846146,attribution,point,0.040106198,,,,,CO2 (kt)
*,*,1996,*,Producer Type,Electric Utility,0.894270821,0.037855963,attribution,point,0.033853483,,,,,CO2 (kt)
Utility Sector Cogen,*,*,*,Energy Source,Natural Gas,0.623234406,0.145300807,attribution,point,0.090556462,,,,,CO2 (kt)
*,*,1997,*,Producer Type,Electric Utility,0.896245679,0.038293323,attribution,point,0.034320225,,,,,CO2 (kt)
*,*,2009,*,Energy Source,Coal,0.828837432,0.040042764,attribution,point,0.033188942,,,,,CO2 (kt)
*,*,1998,*,Producer Type,Electric Utility,0.891796176,0.038925066,attribution,point,0.034713225,,,,,CO2 (kt)
*,*,*,*,Energy Source,Coal,0.835081583,1,attribution,point,0.835081583,,,,,CO2 (kt)
Industrial Non-Cogen,*,*,*,Energy Source,Coal,0.709152275,0.057731558,attribution,point,0.040940466,,,,,CO2 (kt)
Utility Sector Non-Cogen,*,*,*,Energy Source,Coal,0.730610477,0.170278939,attribution,point,0.124407577,,,,,CO2 (kt)
*,*,1998,*,Energy Source,Coal,0.843412598,0.038925066,attribution,point,0.032829891,,,,,CO2 (kt)
*,Coal,*,*,Producer Type,Electric Utility,0.854945864,0.162406453,attribution,point,0.138848726,,,,,CO2 (kt)
*,*,*,CA,Energy Source,Natural Gas,0.896531602,0.038925066,attribution,point,0.034897551,,,,,CO2 (kt)
*,*,2011,*,Energy Source,Coal,0.818453105,0.041937992,attribution,point,0.03432428,,,,,CO2 (kt)
*,*,2008,*,Energy Source,Coal,0.846037956,0.040431529,attribution,point,0.034206608,,,,,CO2 (kt)
Electric Utility,*,*,*,Energy Source,Coal,0.892927886,0.211147828,attribution,point,0.188539783,,,,,CO2 (kt)
*,*,2010,*,Energy Source,Coal,0.828505822,0.040674507,attribution,point,0.033699066,,,,,CO2 (kt)
*,Other,*,*,Producer Type,Utility Sector Non-Cogen,0.704647722,0.103994557,attribution,point,0.073279528,,,,,CO2 (kt)
*,*,2003,*,Energy Source,Coal,0.847055484,0.040868889,attribution,point,0.034618217,,,,,CO2 (kt)
